id,category_id
300001,6002
300002,6002
300003,6002
300004,6002
300005,6002
300006,6002
300007,6002
300008,6002
300009,6002
300010,6002
300011,6002
300012,6002
300013,6002
300014,6002
300015,6002
300016,6002
300017,6002
300018,6002
300019,6002
300020,6002
300021,6002
300022,6002
300023,6002
300024,6002
300025,6002
300026,6002
300027,6002
300028,6002
300029,6002
300030,6002
300031,6002
300032,6002
300033,6002
300034,6002
300035,6002
300036,6002
300037,6002
300038,6002
300039,6002
300040,6002
300041,6002
300042,6002
300043,6002
300044,6002
300045,6002
300046,6002
300047,6002
300048,6002
300049,6002
300050,6002
300051,6003
300052,6003
300053,6003
300054,6003
300055,6003
300056,6003
300057,6003
300058,6003
300059,6003
300060,6003
300061,6003
300062,6003
300063,6003
300064,6003
300065,6003
300066,6003
300067,6003
300068,6003
300069,6003
300070,6003
300071,6003
300072,6003
300073,6003
300074,6003
300075,6003
300076,6003
300077,6003
300078,6003
300079,6003
300080,6003
300081,6003
300082,6003
300083,6003
300084,6003
300085,6003
300086,6003
300087,6003
300088,6003
300089,6003
300090,6003
300091,6003
300092,6003
300093,6003
300094,6003
300095,6003
300096,6003
300097,6003
300098,6003
300099,6003
300100,6003
300101,6004
300102,6004
300103,6004
300104,6004
300105,6004
300106,6004
300107,6004
300108,6004
300109,6004
300110,6004
300111,6004
300112,6004
300113,6004
300114,6004
300115,6004
300116,6004
300117,6004
300118,6004
300119,6004
300120,6004
300121,6004
300122,6004
300123,6004
300124,6004
300125,6004
300126,6004
300127,6004
300128,6004
300129,6004
300130,6004
300131,6004
300132,6004
300133,6004
300134,6004
300135,6004
300136,6004
300137,6004
300138,6004
300139,6004
300140,6004
300141,6004
300142,6004
300143,6004
300144,6004
300145,6004
300146,6004
300147,6004
300148,6004
300149,6004
300150,6004
300151,6005
300152,6005
300153,6005
300154,6005
300155,6005
300156,6005
300157,6005
300158,6005
300159,6005
300160,6005
300161,6005
300162,6005
300163,6005
300164,6005
300165,6005
300166,6005
300167,6005
300168,6005
300169,6005
300170,6005
300171,6005
300172,6005
300173,6005
300174,6005
300175,6005
300176,6005
300177,6005
300178,6005
300179,6005
300180,6005
300181,6005
300182,6005
300183,6005
300184,6005
300185,6005
300186,6005
300187,6005
300188,6005
300189,6005
300190,6005
300191,6005
300192,6005
300193,6005
300194,6005
300195,6005
300196,6005
300197,6005
300198,6005
300199,6005
300200,6005
300201,6006
300202,6006
300203,6006
300204,6006
300205,6006
300206,6006
300207,6006
300208,6006
300209,6006
300210,6006
300211,6006
300212,6006
300213,6006
300214,6006
300215,6006
300216,6006
300217,6006
300218,6006
300219,6006
300220,6006
300221,6006
300222,6006
300223,6006
300224,6006
300225,6006
300226,6006
300227,6006
300228,6006
300229,6006
300230,6006
300231,6006
300232,6006
300233,6006
300234,6006
300235,6006
300236,6006
300237,6006
300238,6006
300239,6006
300240,6006
300241,6006
300242,6006
300243,6006
300244,6006
300245,6006
300246,6006
300247,6006
300248,6006
300249,6006
300250,6006
300251,6007
300252,6007
300253,6007
300254,6007
300255,6007
300256,6007
300257,6007
300258,6007
300259,6007
